prospect_id,start_date,funnel_stage,access_channel,region,lead_source,days_interacted,services_interested,services_purchased,revenue,total_cost
2223,1/20/2025 22:53,Awareness,Desktop,India,Social Media,55,1,0,0,652
2192,2/26/2025 12:57,Awareness,Tablet,Germany,Email,99,0,0,0,309
2192,2/26/2025 12:59,Interested,Tablet,Germany,Email,121,3,0,0,497
1708,6/24/2025 15:40,Awareness,Mobile,India,Google,128,1,0,0,336
2976,6/11/2025 7:21,Awareness,Tablet,UK,Google,113,0,0,0,395
1065,4/12/2025 23:58,Awareness,Desktop,France,Social Media,49,0,0,0,417
1065,4/13/2025 0:00,Interested,Desktop,France,Social Media,119,3,0,0,728
2216,1/8/2025 20:58,Awareness,Desktop,UK,Email,126,1,0,0,571
2216,1/8/2025 20:59,Interested,Desktop,UK,Email,99,2,0,0,495
2216,1/8/2025 21:00,Proposal & Negotiation,Desktop,UK,Email,15,4,0,0,791
2216,1/8/2025 21:02,Deal Lost,Desktop,UK,Email,119,4,0,0,646
2429,5/7/2025 6:16,Awareness,Desktop,Australia,Social Media,122,0,0,0,202
2450,8/4/2025 20:16,Awareness,Desktop,Australia,Google,61,1,0,0,726
2450,8/4/2025 20:18,Interested,Desktop,Australia,Google,129,1,0,0,389
1521,7/19/2025 2:20,Awareness,Mobile,France,Email,93,0,0,0,786
1521,7/19/2025 2:23,Interested,Mobile,France,Email,119,1,0,0,590
1843,2/14/2025 21:33,Awareness,Tablet,India,Social Media,128,0,0,0,691
1843,2/14/2025 21:35,Interested,Tablet,India,Social Media,112,1,0,0,519
1843,2/14/2025 21:37,Proposal & Negotiation,Tablet,India,Social Media,126,3,0,0,279
2357,5/17/2025 22:11,Awareness,Tablet,India,Direct,75,0,0,0,252
2357,5/17/2025 22:13,Interested,Tablet,India,Direct,116,3,0,0,654
2760,6/11/2025 20:27,Awareness,Tablet,USA,Direct,54,0,0,0,555
2760,6/11/2025 20:28,Interested,Tablet,USA,Direct,81,1,0,0,310
2760,6/11/2025 20:30,Proposal & Negotiation,Tablet,USA,Direct,113,2,0,0,540
2907,3/31/2025 11:11,Awareness,Mobile,France,Email,31,1,0,0,501
2907,3/31/2025 11:14,Interested,Mobile,France,Email,122,1,0,0,767
2907,3/31/2025 11:15,Proposal & Negotiation,Mobile,France,Email,92,3,0,0,767
1058,8/1/2025 19:45,Awareness,Tablet,USA,Direct,42,1,0,0,521
1058,8/1/2025 19:48,Interested,Tablet,USA,Direct,129,3,0,0,317
1058,8/1/2025 19:50,Proposal & Negotiation,Tablet,USA,Direct,122,3,0,0,377
1884,4/14/2025 13:14,Awareness,Mobile,Australia,Email,119,1,0,0,320
1884,4/14/2025 13:16,Interested,Mobile,Australia,Email,77,3,0,0,606
2270,5/4/2025 18:51,Awareness,Mobile,Australia,Email,129,1,0,0,305
2270,5/4/2025 18:53,Interested,Mobile,Australia,Email,116,2,0,0,537
2270,5/4/2025 18:55,Proposal & Negotiation,Mobile,Australia,Email,119,3,0,0,586
1016,7/1/2025 7:57,Awareness,Mobile,USA,Email,128,0,0,0,300
1629,6/2/2025 13:09,Awareness,Mobile,USA,Social Media,47,1,0,0,257
1629,6/2/2025 13:12,Interested,Mobile,USA,Social Media,129,3,0,0,749
1629,6/2/2025 13:13,Proposal & Negotiation,Mobile,USA,Social Media,78,5,0,0,241
1797,5/11/2025 10:48,Awareness,Mobile,USA,Email,78,1,0,0,573
1797,5/11/2025 10:49,Interested,Mobile,USA,Email,104,1,0,0,228
1797,5/11/2025 10:50,Proposal & Negotiation,Mobile,USA,Email,51,3,0,0,442
1797,5/11/2025 10:52,Proposal & Negotiation,Mobile,USA,Email,122,5,0,0,611
1797,5/11/2025 10:53,Deal Signed,Mobile,USA,Email,58,5,1,7070,2597
2000,4/15/2025 22:13,Awareness,Tablet,USA,Email,126,1,0,0,567
2000,4/15/2025 22:14,Interested,Tablet,USA,Email,34,3,0,0,533
2182,3/18/2025 4:06,Awareness,Desktop,Canada,Direct,119,0,0,0,562
2182,3/18/2025 4:07,Interested,Desktop,Canada,Direct,84,1,0,0,569
2035,2/14/2025 6:39,Awareness,Tablet,Australia,Google,32,0,0,0,235
2035,2/14/2025 6:40,Interested,Tablet,Australia,Google,75,2,0,0,284
2046,2/24/2025 18:32,Awareness,Desktop,UK,Social Media,128,0,0,0,685
2546,4/18/2025 5:34,Awareness,Tablet,France,Direct,63,0,0,0,255
2546,4/18/2025 5:36,Interested,Tablet,France,Direct,122,3,0,0,594
2546,4/18/2025 5:39,Proposal & Negotiation,Tablet,France,Direct,129,3,0,0,596
2546,4/18/2025 5:41,Proposal & Negotiation,Tablet,France,Direct,93,5,0,0,536
2546,4/18/2025 5:42,Deal Signed,Tablet,France,Direct,78,1,1,4190,1307
2666,5/29/2025 2:09,Awareness,Desktop,France,Google,20,0,0,0,623
2666,5/29/2025 2:10,Interested,Desktop,France,Google,89,1,0,0,338
1143,5/6/2025 3:32,Awareness,Tablet,USA,Google,126,0,0,0,214
1143,5/6/2025 3:35,Interested,Tablet,USA,Google,129,2,0,0,407
2067,5/9/2025 15:42,Awareness,Desktop,France,Social Media,69,1,0,0,370
2067,5/9/2025 15:42,Interested,Desktop,France,Social Media,33,3,0,0,764
1310,3/19/2025 23:40,Awareness,Mobile,Australia,Email,119,0,0,0,459
1758,8/26/2025 5:06,Awareness,Mobile,Germany,Google,122,0,0,0,775
2181,4/12/2025 13:30,Awareness,Tablet,India,Social Media,119,0,0,0,489
2181,4/12/2025 13:32,Interested,Tablet,India,Social Media,123,2,0,0,443
1114,8/10/2025 18:55,Awareness,Tablet,France,Social Media,108,0,0,0,799
1114,8/10/2025 18:58,Interested,Tablet,France,Social Media,122,3,0,0,314
